id,city_id,lat,lon,city_cn,min_dist,starty,startm,revenue,employment,monitor_lon,monitor_lat,industry,prov_id,key,ownership
73.0,3608,26.467359,114.744351,吉安,70.38394634112989,2004,10,252844.0,993,114.9817,27.0658,2923,10.0,0.0,5.0
74.0,3608,26.460796,114.71352,吉安,72.14620479179425,2011,9,39600.0,322,114.9817,27.0658,2913,10.0,0.0,5.0
75.0,3608,26.4642937,114.7515916,吉安,70.46692012069829,1997,9,220878.0,168,114.9817,27.0658,3311,10.0,0.0,3.0
76.0,3608,26.632782,114.855085,吉安,49.60168132697314,2003,11,287603.0,462,114.9817,27.0658,2021,10.0,0.0,3.0
77.0,3608,26.450273,114.802391,吉安,70.4936935320384,2009,1,218308.0,287,114.9817,27.0658,2619,10.0,0.0,9.0
78.0,3608,26.461334,114.71232,吉安,72.13504623295367,2011,1,63541.0,45,114.9817,27.0658,3972,10.0,0.0,3.0
79.0,3608,26.460122,114.727911,吉安,71.69928085354958,2010,3,24094.0,201,114.9817,27.0658,3972,10.0,0.0,3.0
80.0,3608,26.45827,114.72685,吉安,71.92856547776772,2012,1,29301.0,340,114.9817,27.0658,3972,10.0,0.0,3.0
81.0,3608,26.477293,114.744017,吉安,69.35900620787166,2004,12,534682.0,936,114.9817,27.0658,3971,10.0,0.0,3.0
82.0,3608,26.470589,114.746442,吉安,69.97698660272555,2007,3,399168.0,18,114.9817,27.0658,3871,10.0,0.0,3.0
83.0,3608,26.473483,114.745493,吉安,69.70653564970229,2002,8,272157.0,398,114.9817,27.0658,1362,10.0,0.0,3.0
84.0,3608,26.4558602,114.7865448,吉安,70.31354812904759,2007,3,369225.0,817,114.9817,27.0658,3971,10.0,0.0,3.0
85.0,3608,26.465066,114.750414,吉安,70.42414255254606,2007,7,41906.0,311,114.9817,27.0658,3913,10.0,0.0,3.0
86.0,3608,26.461242,114.731212,吉安,71.46799088154928,2011,8,32767.0,537,114.9817,27.0658,2023,10.0,0.0,3.0
87.0,4206,32.187586,112.396476,襄阳,20.58987363850812,2004,4,3322248.0,292,112.2106,32.0903,1331,12.0,0.0,3.0
88.0,3607,25.852075,114.857961,赣州,3.308104718295566,2011,5,74010.0,169,114.8905,25.8471,3819,10.0,0.0,5.0
90.0,5206,27.518885,109.212011,铜仁地区,22.857526685667853,1982,4,233209.0,240,109.1794,27.7231,4420,17.0,0.0,1.0
91.0,5206,27.532031,109.218038,铜仁地区,21.51370371026606,2003,9,20521.0,329,109.1794,27.7231,3660,17.0,0.0,3.0
92.0,5206,27.469255,109.163321,铜仁地区,28.174074212908685,2001,1,176036.0,338,109.1794,27.7231,3150,17.0,0.0,3.0
93.0,3611,28.6916376,117.0458982,上饶,88.75353455789836,2007,7,321534.0,457,117.9033,28.4303,1495,10.0,0.0,3.0
94.0,3611,28.697341,117.05393,上饶,88.21897154001236,2011,8,29000.0,151,117.9033,28.4303,1810,10.0,0.0,3.0
95.0,3611,28.67975,117.087637,上饶,84.46744296314068,2008,9,56214.0,508,117.9033,28.4303,2923,10.0,0.0,3.0
96.0,3611,28.815882,116.986155,上饶,99.34788124273896,2007,6,47800.0,324,117.9033,28.4303,1013,10.0,0.0,3.0
97.0,3611,28.813852,116.987716,上饶,99.11417382464646,2004,3,1100830.0,752,117.9033,28.4303,3842,10.0,0.0,3.0
98.0,3611,28.693964,117.047487,上饶,88.69034532544775,2012,7,22000.0,54,117.9033,28.4303,2431,10.0,0.0,3.0
99.0,3611,28.8470987,116.9824024,上饶,101.19894447888277,2007,3,341159.0,743,117.9033,28.4303,1810,10.0,0.0,3.0
100.0,3611,28.711518,117.047003,上饶,89.38808741827131,2010,10,61039.0,135,117.9033,28.4303,4119,10.0,0.0,3.0
101.0,3611,28.6982387,117.0720425,上饶,86.58525834230845,1997,3,202635.0,437,117.9033,28.4303,4420,10.0,0.0,1.0
102.0,3611,28.697662,117.048625,上饶,88.71988138071282,2009,9,140130.0,721,117.9033,28.4303,1922,10.0,0.0,3.0
103.0,3611,28.69954,117.048916,上饶,88.76209759893048,2010,10,119623.0,504,117.9033,28.4303,1830,10.0,0.0,3.0
