city_id,city_cn,number,background,incentive1,incentive2,area,pop,pred_number1,pred_number2,number_iv,env_lon,env_lat,centroid_lon,centroid_lat,cen_lat,cen_lon,disttocoast,GDP
4304.0,衡阳,5.0,1.0,0.0,10.0,158.0,101.2,6.0,6.0,6.0,112.58823045184756,26.902632393956694,112.6110097074114,26.830269524843434,26.830269524843434,112.6110097074114,431285.03,32934.0
4305.0,邵阳,4.0,1.0,0.0,10.0,54.0,69.1,4.0,4.0,4.0,111.43242147243836,27.227248234312313,111.18619350380517,27.069228142617956,27.23895,111.467674,500807.5,22798.0
4309.0,益阳,4.0,1.0,0.0,10.0,65.0,57.1,4.0,4.0,4.0,112.34030339674034,28.54976137840944,112.22970940199203,28.615502722576398,28.55386,112.35518,614856.2,28596.0
4310.0,郴州,4.0,1.0,0.0,10.0,71.96,52.1,4.0,4.0,4.0,113.0343780277474,25.776253167813756,112.99047923433244,25.798427886239757,25.798427886239757,112.99047923433244,298922.62,39999.0
4311.0,永州,4.0,1.0,0.0,10.0,58.43,44.5,4.0,2.0,4.0,111.60611673267078,26.434389849538853,111.71672555750915,25.995575640476147,26.420394,111.613445,413703.1,24295.0
4312.0,怀化,4.0,1.0,0.0,10.0,60.0,30.75,4.0,2.0,4.0,109.99598535049348,27.558374053120694,110.02102728309454,27.502388174212044,27.502388174212044,110.02102728309454,603530.44,24368.0
4313.0,娄底,4.0,1.0,0.0,10.0,51.0,41.7,4.0,2.0,4.0,112.00622982447547,27.71159000028608,111.76033090668952,27.68821553773584,27.700062,111.993497,532323.1,36809.0
4331.0,湘西州,2.0,1.0,0.0,10.0,28.8,19.0,2.0,1.0,2.0,109.753542,28.312055,109.72044389942529,28.53166046666666,28.312001,109.738781,686196.4,28453.0
4504.0,梧州,4.0,0.0,0.0,5.0,37.0,37.8,2.0,2.0,2.0,111.26910054285833,23.475996454182464,111.06872373362067,23.391256798850563,23.476962,111.279115,183849.36,31293.0
4506.0,防城港,3.0,0.0,0.0,5.0,33.98,14.98,2.0,1.0,2.0,108.3503248809581,21.62922126596742,108.2311033089041,21.745379204794524,21.68686,108.353846,2347.2332,65184.0
4507.0,钦州,3.0,0.0,0.0,5.0,86.17,21.82,4.0,1.0,4.0,108.64927996104386,21.974192883913418,109.03692983819742,22.09423599957081,21.979933,108.654146,8217.909,26971.0
4508.0,贵港,3.0,1.0,0.0,5.0,66.51,38.41,4.0,2.0,4.0,109.5668674259952,23.10652891779672,110.00473623614468,23.281051831626485,23.11153,109.598926,149727.9,19004.0
4509.0,玉林,2.0,1.0,0.0,5.0,66.56,51.95,4.0,4.0,4.0,110.16728127066466,22.641180064457444,110.2425533192524,22.532098817009373,22.654032,110.18122,115658.16,23784.0
4510.0,百色,2.0,0.0,0.0,5.0,34.97,19.48,2.0,1.0,2.0,106.61031645742705,23.900921755465838,106.73566245783132,23.747247078915652,23.902479,106.618283,289498.75,25806.0
4511.0,贺州,2.0,0.0,0.0,5.0,36.0,18.95,2.0,1.0,2.0,111.56669244460883,24.419868033512092,111.33971003173075,24.43666892499999,24.403582,111.566694,237108.3,22345.0
4512.0,河池,2.0,1.0,0.0,5.0,20.0,20.47,2.0,1.0,2.0,108.04392150053347,24.694917836017698,108.06200937168141,24.53539172212389,24.692931,108.085261,308967.75,17474.0
4513.0,来宾,2.0,0.0,0.0,5.0,35.0,19.8,2.0,1.0,2.0,109.21655495203932,23.75295838833344,109.46489657806455,23.820247789677424,23.750306,109.221465,210843.83,25563.0
4514.0,崇左,2.0,0.0,0.0,5.0,22.0,12.67,2.0,1.0,2.0,107.37007949011864,22.370565420080275,107.21025992075475,22.525862280188676,22.377253,107.365094,103030.875,37244.0
