city_id,monitor_id,year,month,day,pm25api,pm10api,AQI,pm25max,AQImax
4115.0,2054A,2015.0,3.0,30,65.16666666666667,81.6842105263158,87.958336,109.0,143.0
4115.0,2054A,2015.0,3.0,31,67.33333333333333,96.47619047619048,91.291664,111.0,145.0
4115.0,2054A,2015.0,4.0,1,55.78260869565217,64.46153846153847,76.478264,112.0,147.0
4115.0,2054A,2015.0,4.0,2,52.5,76.11111111111111,71.666664,113.0,148.0
4115.0,2054A,2015.0,4.0,3,84.25,130.54166666666666,116.0,129.0,170.0
4115.0,2054A,2015.0,4.0,4,103.45833333333333,121.36842105263158,136.54167,138.0,183.0
4115.0,2054A,2015.0,4.0,5,114.25,132.95,150.45833,147.0,196.0
4115.0,2054A,2015.0,4.0,6,133.66666666666666,155.65,172.625,224.0,274.0
4115.0,2054A,2015.0,4.0,7,70.79166666666667,103.375,95.375,84.0,112.0
4115.0,2054A,2015.0,4.0,8,44.09090909090909,82.57142857142857,69.045456,59.0,120.0
4115.0,2054A,2015.0,4.0,9,44.47826086956522,72.08695652173913,67.304344,67.0,101.0
4115.0,2054A,2015.0,4.0,10,66.23809523809524,93.42857142857143,89.333336,83.0,110.0
4115.0,2054A,2015.0,4.0,11,62.0,101.61904761904762,87.5,94.0,124.0
