city_id,monitor_id,year,month,pm25api,pm10api,AQI
1405.0,2161A,2017.0,12.0,67.26612903225808,129.6904669730894,103.47859
1405.0,2162A,2015.0,1.0,85.8993440741181,150.10860940229367,121.95931
1405.0,2162A,2015.0,2.0,47.88597543760587,102.7057453416149,80.71084
1405.0,2162A,2015.0,3.0,53.10680684562355,112.19922038963063,89.89965
1405.0,2162A,2015.0,4.0,49.77349015020067,127.26051696527398,92.33992
1405.0,2162A,2015.0,5.0,52.952443952338776,115.18762352510969,87.56462
1405.0,2162A,2015.0,6.0,43.40639535267681,91.02964555657918,77.598564
1405.0,2162A,2015.0,7.0,51.79343200113145,104.58089517012976,81.6111
1405.0,2162A,2015.0,8.0,29.921850292781123,72.29568267538666,60.055172
1405.0,2162A,2015.0,9.0,31.739148629148634,72.23174054206665,59.73874
